;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_S
283;Arm;gcd;int16_t;2.0;32764.0;2
284;Arm;gcd;int16_t;2.0;32764.0;2
285;Arm;gcd;int32_t;2.0;2147483638.0;2
286;Arm;gcd;int32_t;2.0;2147483638.0;2
287;Arm;gcd;int64_t;2.0;9.223372036854776e+18;2
288;Arm;gcd;int64_t;2.0;9.223372036854776e+18;2
289;Thumb;gcd;int8_t;2.0;125.0;2
290;Thumb;gcd;int8_t;2.0;125.0;2
291;Thumb;gcd;int16_t;2.0;32764.0;2
292;Thumb;gcd;int16_t;2.0;32764.0;2
293;Thumb;gcd;int32_t;2.0;2147483638.0;2
294;Thumb;gcd;int32_t;2.0;2147483638.0;2
295;Thumb;gcd;int64_t;2.0;9.223372036854776e+18;2
296;Thumb;gcd;int64_t;2.0;9.223372036854776e+18;2
297;Atmega328p;gcd;int8_t;2.0;125.0;2
298;Atmega328p;gcd;int8_t;2.0;125.0;2
299;Atmega328p;gcd;int16_t;2.0;32764.0;2
300;Atmega328p;gcd;int16_t;2.0;32764.0;2
301;Atmega328p;gcd;int32_t;2.0;2147483638.0;2
302;Atmega328p;gcd;int32_t;2.0;2147483638.0;2
303;Atmega328p;gcd;int64_t;2.0;9.223372036854776e+18;2
304;Atmega328p;gcd;int64_t;2.0;9.223372036854776e+18;2
305;RiscV;gcd;int8_t;2.0;125.0;2
306;RiscV;gcd;int8_t;2.0;125.0;2
307;RiscV;gcd;int16_t;2.0;32764.0;2
308;RiscV;gcd;int16_t;2.0;32764.0;2
309;RiscV;gcd;int32_t;2.0;2147483638.0;2
310;RiscV;gcd;int32_t;2.0;2147483638.0;2
311;RiscV;gcd;int64_t;2.0;9.223372036854776e+18;2
312;RiscV;gcd;int64_t;2.0;9.223372036854776e+18;2
313;Leon3;gcd;int8_t;2.0;125.0;2
314;Leon3;gcd;int8_t;2.0;125.0;2
315;Leon3;gcd;int16_t;2.0;32764.0;2
